	time	voltage
329	4258.0	0.0375822
330	4260.0	0.0375822
331	4262.0	0.0375822
332	4264.0	0.0375744
333	4266.0	0.0375744
334	4268.0	0.0375744
335	4270.0	0.0375744
336	4272.0	0.0375744
337	4274.0	0.0375744
338	4276.0	0.0375744
339	4278.0	0.0375744
340	4280.0	0.0375744
341	4282.0	0.0375744
342	4284.0	0.0375744
343	4286.0	0.0375744
344	4288.0	0.0375744
345	4290.0	0.0375744
346	4292.0	0.0375744
347	4294.0	0.0375744
348	4296.0	0.0375744
349	4298.0	0.0375744
350	4300.0	0.0375744
351	4302.0	0.0375744
352	4304.0	0.0375744
353	4306.0	0.0375744
354	4308.0	0.0375744
355	4310.0	0.0375744
356	4312.0	0.0375744
357	4314.0	0.0375744
358	4316.0	0.0375744
359	4318.0	0.0375744
360	4320.0	0.0375666
361	4322.0	0.0375666
362	4324.0	0.0375666
363	4326.0	0.0375666
364	4328.0	0.0375744
365	4330.0	0.0375744
366	4332.0	0.0375666
367	4334.0	0.0375666
368	4336.0	0.0375666
369	4338.0	0.0375666
370	4340.0	0.0375666
371	4342.0	0.0375666
372	4344.0	0.0375666
373	4346.0	0.0375666
374	4348.0	0.0375666
375	4350.0	0.0375666
376	4352.0	0.0375666
377	4354.0	0.0375666
378	4356.0	0.0375587
379	4358.0	0.0375587
380	4360.0	0.0375587
381	4362.0	0.0375587
382	4364.0	0.0375587
383	4366.0	0.0375587
384	4368.0	0.0375587
385	4370.0	0.0375587
386	4372.0	0.0375587
387	4374.0	0.0375587
388	4376.0	0.0375587
389	4378.0	0.0375587
390	4380.0	0.0375509
391	4382.0	0.0375509
392	4384.0	0.0375509
393	4386.0	0.0375509
394	4388.0	0.0375509
395	4390.0	0.0375509
396	4392.0	0.0375509
397	4394.0	0.0375509
398	4396.0	0.0375509
399	4398.0	0.0375431
400	4400.0	0.0375431
401	4402.0	0.0375431
402	4404.0	0.0375509
403	4406.0	0.0375509
404	4408.0	0.0375431
405	4410.0	0.0375431
406	4412.0	0.0375431
407	4414.0	0.0375509
408	4416.0	0.0375431
409	4418.0	0.0375509
410	4420.0	0.0375431
411	4422.0	0.0375431
412	4424.0	0.0375431
413	4426.0	0.0375431
414	4428.0	0.0375431
415	4430.0	0.0375431
416	4432.0	0.0375431
417	4434.0	0.0375431
418	4436.0	0.0375431
419	4438.0	0.0375353
420	4440.0	0.0375353
421	4442.0	0.0375353
422	4444.0	0.0375431
423	4446.0	0.0375353
424	4448.0	0.0375353
425	4450.0	0.0375431
426	4452.0	0.0375353
427	4454.0	0.0375353
428	4456.0	0.0375353
429	4458.0	0.0375353
430	4460.0	0.0375353
431	4462.0	0.0375353
432	4464.0	0.0375353
433	4466.0	0.0375353
434	4468.0	0.0375353
435	4470.0	0.0375275
436	4472.0	0.0375353
437	4474.0	0.0375353
438	4476.0	0.0375353
439	4478.0	0.0375353
440	4480.0	0.0375275
441	4482.0	0.0375275
442	4484.0	0.0375275
443	4486.0	0.0375275
444	4488.0	0.0375275
445	4490.0	0.0375275
446	4492.0	0.0375275
447	4494.0	0.0375275
448	4496.0	0.0375275
449	4498.0	0.0375275
450	4500.0	0.0375275
451	4502.0	0.0375275
452	4504.0	0.0375275
453	4506.0	0.0375275
454	4508.0	0.0375275
455	4510.0	0.0375196
456	4512.0	0.0375196
457	4514.0	0.0375275
458	4516.0	0.0375275
459	4518.0	0.0375275
460	4520.0	0.0375196
461	4522.0	0.0375196
462	4524.0	0.0375196
463	4526.0	0.0375275
464	4528.0	0.0375196
465	4530.0	0.0375196
466	4532.0	0.0375196
467	4534.0	0.0375196
468	4536.0	0.0375196
469	4538.0	0.0375196
470	4540.0	0.0375196
471	4542.0	0.0375196
472	4544.0	0.0375196
473	4546.0	0.0375196
474	4548.0	0.0375118
475	4550.0	0.0375118
476	4552.0	0.0375196
477	4554.0	0.0375196
478	4556.0	0.0375196
479	4558.0	0.0375196
480	4560.0	0.0375118
481	4562.0	0.0375196
482	4564.0	0.0375118
483	4566.0	0.0375118
484	4568.0	0.0375118
485	4570.0	0.0375118
486	4572.0	0.0375118
487	4574.0	0.0375118
488	4576.0	0.0375118
489	4578.0	0.037504
490	4580.0	0.037504
491	4582.0	0.0375118
492	4584.0	0.0375118
493	4586.0	0.0375118
494	4588.0	0.037504
495	4590.0	0.0375118
496	4592.0	0.0375118
497	4594.0	0.037504
498	4596.0	0.037504
499	4598.0	0.037504
500	4600.0	0.037504
501	4602.0	0.037504
502	4604.0	0.037504
503	4606.0	0.037504
504	4608.0	0.037504
505	4610.0	0.037504
506	4612.0	0.037504
507	4614.0	0.037504
508	4616.0	0.037504
509	4618.0	0.037504
510	4620.0	0.037504
511	4622.0	0.037504
512	4624.0	0.037504
513	4626.0	0.037504
514	4628.0	0.037504
515	4630.0	0.037504
516	4632.0	0.037504
517	4634.0	0.0374963
518	4636.0	0.037504
519	4638.0	0.0374963
520	4640.0	0.0374963
521	4642.0	0.0374963
522	4644.0	0.0374963
523	4646.0	0.0374885
524	4648.0	0.0374885
525	4650.0	0.0374885
526	4652.0	0.0374806
527	4654.0	0.0374806
528	4656.0	0.0374806
529	4658.0	0.0374728
530	4660.0	0.0374728
531	4662.0	0.0374728
532	4664.0	0.0374728
533	4666.0	0.0374728
534	4668.0	0.0374728
535	4670.0	0.037465
536	4672.0	0.037465
537	4674.0	0.037465
538	4676.0	0.037465
539	4678.0	0.037465
540	4680.0	0.037465
541	4682.0	0.0374572
542	4684.0	0.0374572
543	4686.0	0.037465
544	4688.0	0.0374572
545	4690.0	0.037465
546	4692.0	0.037465
547	4694.0	0.037465
548	4696.0	0.037465
549	4698.0	0.037465
550	4700.0	0.037465
551	4702.0	0.0374572
552	4704.0	0.0374572
553	4706.0	0.037465
554	4708.0	0.0374572
555	4710.0	0.0374572
556	4712.0	0.0374572
557	4714.0	0.0374572
558	4716.0	0.0374572
559	4718.0	0.0374572
560	4720.0	0.0374572
561	4722.0	0.0374572
562	4724.0	0.0374572
563	4726.0	0.0374572
564	4728.0	0.0374572
565	4730.0	0.0374572
566	4732.0	0.0374572
567	4734.0	0.0374572
568	4736.0	0.0374572
569	4738.0	0.0374572
570	4740.0	0.0374494
571	4742.0	0.0374494
572	4744.0	0.0374494
573	4746.0	0.0374415
574	4748.0	0.0374415
575	4750.0	0.0374415
576	4752.0	0.0374337
577	4754.0	0.0374337
578	4756.0	0.0374337
579	4758.0	0.0374337
580	4760.0	0.0374337
581	4762.0	0.0374259
582	4764.0	0.0374259
583	4766.0	0.0374259
584	4768.0	0.0374259
585	4770.0	0.0374259
586	4772.0	0.0374259
587	4774.0	0.0374259
588	4776.0	0.0374259
589	4778.0	0.0374259
590	4780.0	0.0374259
591	4782.0	0.0374259
592	4784.0	0.0374259
593	4786.0	0.0374259
594	4788.0	0.0374259
595	4790.0	0.0374259
596	4792.0	0.0374259
597	4794.0	0.0374259
598	4796.0	0.0374259
599	4798.0	0.0374259
600	4800.0	0.0374259
601	4802.0	0.0374259
602	4804.0	0.0374259
603	4806.0	0.0374259
604	4808.0	0.0374259
605	4810.0	0.0374259
606	4812.0	0.0374259
607	4814.0	0.0374259
608	4816.0	0.0374259
609	4818.0	0.0374259
610	4820.0	0.0374259
611	4822.0	0.0374259
612	4824.0	0.0374259
613	4826.0	0.0374259
614	4828.0	0.0374259
615	4830.0	0.0374259
616	4832.0	0.0374337
617	4834.0	0.0374337
618	4836.0	0.0374337
619	4838.0	0.0374337
620	4840.0	0.0374259
621	4842.0	0.0374259
622	4844.0	0.0374259
623	4846.0	0.0374259
624	4848.0	0.0374259
625	4850.0	0.0374259
626	4852.0	0.0374181
627	4854.0	0.0374181
628	4856.0	0.0374181
629	4858.0	0.0374181
630	4860.0	0.0374181
631	4862.0	0.0374181
632	4864.0	0.0374181
633	4866.0	0.0374181
634	4868.0	0.0374181
635	4870.0	0.0374181
636	4872.0	0.0374103
637	4874.0	0.0374103
638	4876.0	0.0374103
639	4878.0	0.0374103
640	4880.0	0.0374103
641	4882.0	0.0374103
642	4884.0	0.0374181
643	4886.0	0.0374181
644	4888.0	0.0374181
645	4890.0	0.0374181
646	4892.0	0.0374181
647	4894.0	0.0374181
648	4896.0	0.0374259
649	4898.0	0.0374259
650	4900.0	0.0374259
651	4902.0	0.0374181
652	4904.0	0.0374181
653	4906.0	0.0374181
654	4908.0	0.0374103
655	4910.0	0.0374103
656	4912.0	0.0374103
657	4914.0	0.0374103
658	4916.0	0.0374103
659	4918.0	0.0374181
660	4920.0	0.0374103
661	4922.0	0.0374103
662	4924.0	0.0374103
663	4926.0	0.0374103
664	4928.0	0.0374103
665	4930.0	0.0374103
666	4932.0	0.0374103
667	4934.0	0.0374103
668	4936.0	0.0374103
669	4938.0	0.0374025
670	4940.0	0.0374025
671	4942.0	0.0374025
672	4944.0	0.0373947
673	4946.0	0.0373947
674	4948.0	0.0373947
675	4950.0	0.0373947
676	4952.0	0.0373869
677	4954.0	0.0373869
678	4956.0	0.0373869
679	4958.0	0.0373869
680	4960.0	0.0373791
681	4962.0	0.0373791
682	4964.0	0.0373791
683	4966.0	0.0373791
684	4968.0	0.0373713
685	4970.0	0.0373713
686	4972.0	0.0373713
687	4974.0	0.0373713
688	4976.0	0.0373713
689	4978.0	0.0373713
690	4980.0	0.0373713
691	4982.0	0.0373713
692	4984.0	0.0373713
693	4986.0	0.0373713
694	4988.0	0.0373791
695	4990.0	0.0373791
696	4992.0	0.0373791
697	4994.0	0.0373791
698	4996.0	0.0373791
699	4998.0	0.0373791
700	5000.0	0.0373791
701	5002.0	0.0373713
702	5004.0	0.0373713
703	5006.0	0.0373713
704	5008.0	0.0373713
705	5010.0	0.0373713
706	5012.0	0.0373634
707	5014.0	0.0373634
708	5016.0	0.0373556
709	5018.0	0.0373556
710	5020.0	0.0373556
711	5022.0	0.0373556
712	5024.0	0.0373556
713	5026.0	0.0373556
714	5028.0	0.0373556
715	5030.0	0.0373634
716	5032.0	0.0373634
717	5034.0	0.0373634
718	5036.0	0.0373634
719	5038.0	0.0373634
720	5040.0	0.0373634
721	5042.0	0.0373634
722	5044.0	0.0373556
723	5046.0	0.0373556
724	5048.0	0.0373556
725	5050.0	0.0373556
726	5052.0	0.0373634
727	5054.0	0.0373634
728	5056.0	0.0373634
729	5058.0	0.0373634
730	5060.0	0.0373556
731	5062.0	0.0373634
732	5064.0	0.0373634
733	5066.0	0.0373634
734	5068.0	0.0373634
735	5070.0	0.0373634
736	5072.0	0.0373634
737	5074.0	0.0373556
738	5076.0	0.0373634
739	5078.0	0.0373634
740	5080.0	0.0373634
741	5082.0	0.0373634
742	5084.0	0.0373634
743	5086.0	0.0373634
744	5088.0	0.0373634
745	5090.0	0.0373634
746	5092.0	0.0373634
747	5094.0	0.0373634
748	5096.0	0.0373634
749	5098.0	0.0373634
750	5100.0	0.0373713
751	5102.0	0.0373713
752	5104.0	0.0373713
753	5106.0	0.0373634
754	5108.0	0.0373634
755	5110.0	0.0373634
756	5112.0	0.0373634
757	5114.0	0.0373634
758	5116.0	0.0373556
759	5118.0	0.0373634
760	5120.0	0.0373556
761	5122.0	0.0373556
762	5124.0	0.0373556
763	5126.0	0.0373556
764	5128.0	0.0373634
765	5130.0	0.0373556
766	5132.0	0.0373556
767	5134.0	0.0373556
768	5136.0	0.0373556
769	5138.0	0.0373556
770	5140.0	0.0373556
771	5142.0	0.0373556
772	5144.0	0.0373556
773	5146.0	0.0373556
774	5148.0	0.0373556
775	5150.0	0.0373556
776	5152.0	0.0373556
777	5154.0	0.0373556
778	5156.0	0.0373556
779	5158.0	0.0373556
780	5160.0	0.0373556
781	5162.0	0.0373556
782	5164.0	0.0373556
783	5166.0	0.0373556
784	5168.0	0.0373556
785	5170.0	0.0373478
786	5172.0	0.0373478
787	5174.0	0.0373478
788	5176.0	0.0373556
789	5178.0	0.0373556
790	5180.0	0.0373556
791	5182.0	0.0373556
792	5184.0	0.0373556
